avi,BOOK NAME,AUTHOR NAME,GENRE,RATING,COMMENT,VERIFIED
1,An Arduous Path,Shree Bhakta Khanal,"Non-fiction, History",,,Y
2,Nepal and the Gospel of God,Jonathan Lindell,"Non-fiction, Religion",,,Y
3,Radha: Wrath of the Maeju,Rishi Amatya,"Fiction, Mythology",,,Y
4,This Is It,Alan Watts,"Non-fiction, Spiritual",,,Y
5,Before the Coffee Gets Cold,Toshikazu Kawaguchi,Fiction,,,Y
6,Awaken the Kitten Within,David Michie,"Fiction, Self-help",,,Y
7,The Big Score,Michael S. Malone,"Non-fiction, Business",,,Y
8,Global Nepalis,Gellner & Hausner (Eds),"Non-fiction, Cultural Studies",,,Y
9,Why the Germans Do it Better,John Kampfner,"Non-fiction, Social Science",,,Y
10,The Hindu Way,Shashi Tharoor,"Non-fiction, Religion",,,Y
11,Norse Mythology,Neil Gaiman,"Fiction, Mythology",,,Y
12,Ramana Shankara and the Forty Verses,Adi Shankara,"Non-fiction, Religion",,,Y
13,Astrology and You,Ojha,"Non-fiction, Astrology",,,Y
14,Against the Grain,James C. Scott,"Non-fiction, History",,,Y
15,The Internet of Money Volume Two,Andreas M. Antonopoulos,"Non-fiction, Finance",,,Y
16,The Metaverse,Matthew Ball,"Non-fiction, Technology",,,Y
17,Apprenticed to a Himalayan Master,Sri M,"Non-fiction, Spiritual",,,Y
18,Tales of a Mad Yogi,Elizabeth L. Monson,"Non-fiction, Spiritual",,,Y
19,The Disconnect,Roisin Kiberd,"Non-fiction, Technology",,,Y
20,Finding Chika,Mitch Albom,"Non-fiction, Memoir",,,Y
21,Wonder,H. H. Sri Sri Ravi Shankar,"Non-fiction, Spiritual",,,Y
22,How to Meditate,McDonald,"Non-fiction, Self-help",,,Y
23,Eternal Echoes,Sadhguru,"Non-fiction, Spiritual",,,Y
24,The Experiment,Piraye,Fiction,,,Y
25,The Great Tech Game,Anirudh Suri,"Non-fiction, Technology",,,Y
26,Reminiscences of a Stock Operator,Edwin Lefevre,"Non-fiction, Finance",,,Y
27,Mystic's Musings,Sadhguru,"Non-fiction, Spiritual",,,Y
28,Digital Gold,Nathaniel Popper,"Non-fiction, Finance",,,Y
29,The Yoga Sutras for Children,Roopa Pai,"Non-fiction, Spiritual",,,Y
30,Forces of Nature,Professor Brian Cox & Andrew Cohen,"Non-fiction, Science",,,Y
31,The Rise and Fall of the Third Chimpanzee,Jared Diamond,"Non-fiction, Science",,,Y
32,Yoga Darshan,Swami Niranjanananda Saraswati,"Non-fiction, Spiritual",,,Y
33,On Meditation,Sri M,"Non-fiction, Spiritual",,,Y
